,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,release_month,day_of_release
1778,BBY BOO (REMIX),BBY BOO (REMIX),iZaak,2024-03-27,USWL12400891,1771,34.6,92573075,9510,54471531,80.0,639184,11248,,"10,500",102900,,31,668,177,14,850176,28,711373,583,,311199,1,3,Wednesday
1779,What My World Spins Around,What My World Spins Around,Jordan Davis,2022-05-27,USUM72208440,1769,34.6,225128269,23133,12193936,71.0,6417626,36749,19339,"3,634,753",33305600,8173626,26,309999,138,2,87391,7,126764513,9775,1153317,820952,0,5,Friday
1780,HOLIDAY,HOLIDAY,Lil Nas X,2020-11-13,USSM12006375,1774,34.6,551719564,101852,11132603,61.0,298362799,5071208,612523,"205,216,366",1449949822,34528618,85,63905,,29,143928,13,15910741,47587,,1571647,1,11,Friday
1781,Beautiful People (feat. Khalid),Beautiful People (feat. Khalid),Ed Sheeran,2019-06-28,GBAHS1900885,1775,34.6,1394345347,119546,43578048,66.0,634929672,4748135,672092,"42,325,420",449458094,796384125,,439,278,,,57,,,,,0,6,Friday
1782,Son Of A Sinner,Ballads Of The Broken,Jelly Roll,2021-09-17,QMRSZ2102218,1773,34.6,189577521,32091,3315491,70.0,167631264,1282588,89522,"13,788,353",170725017,523029658,,261308,53,1,71,,110527184,54915,3373779,,1,9,Friday
1783,On My Grind,Block Music,OG Eat,2022-11-23,QZTB22230138,1767,34.6,,,,,,,,,,,,,,,,,,,,30698299,0,11,Wednesday
1784,Animals,Full Circle: The Live Anthology,Maroon 5,2011-11-20,USUM71409576,1772,34.6,1365755853,183681,46890920,74.0,1285233400,8881918,632606,"91,997,812",694003171,646244393,40,74610,98,45,252875,18,542517832,319847,11268399,8434236,0,11,Sunday
1785,Kurchi Madathapetti,"Kurchi Madathapetti (From ""Guntur Kaaram"") - Single",Thaman S,2023-12-30,INA092319016,1777,34.6,43280156,1397,2069274,,123586274,1114900,,,,1464327043,2,24,,,,13,,,,172357,0,12,Saturday
1786,DNA,Love Yourself ï¿½ï¿½ï¿½,BTS,2017-09-18,KRA381702187,1778,34.5,632727904,26053,8457280,63.0,1758381885,26790883,402921,"92,435,774",537359844,135121227,34,2143,8,8,195740,,,,,1075755,0,9,Monday
1787,EXCESOS,Pa las Baby's Y Belikeada,Fuerza Regida,2023-10-20,QZ9QQ2300776,1785,34.5,140289944,11244,6732068,,102146155,355596,,"558,350",5016260,419693279,24,73,,13,6745694,1,8663386,2170,,364193,0,10,Friday
1788,VVV,VVV,mikeeysmind,2023-10-21,DGA0L2303147,1782,34.5,66104800,18865,2295894,,20813530,308805,413000,"17,404,126",144294559,1045559887,,3,,1,9696,,46806,86,,1101523,1,10,Saturday
1789,EL BARCO,EL BARCO,KAROL G,2021-03-25,USUM72023902,1780,34.5,304116211,21517,8048081,72.0,692863553,2439195,186881,"13,802,946",184413760,716282244,32,5957,105,10,2012566,14,47500299,14392,,701730,0,3,Thursday
1790,Ahora Dice,Ahora Dice,Chris Jedi,2017-03-17,USUM71606219,1779,34.5,661732009,61561,20760337,68.0,1555093288,6076859,345,"262,718",1702529,177167591,25,3761,,27,386492,28,155137197,43246,,2529986,0,3,Friday
1791,Breakfast Challenge Song (Slowly),Breakfast Challenge Song (Slowly),SPENCE,2021-06-22,TCAFQ2131059,1781,34.5,861521,374,206771,14.0,273898,2095,6140453,"439,126,369",6861330893,,,,,,,,,28,,215105,0,6,Tuesday
1792,Heaven,Heaven,Niall Horan,2023-02-17,USUG12300779,1784,34.5,229993968,29447,13951617,68.0,25068301,605989,76768,"30,680,818",303361656,7773249,56,153416,356,19,243788,21,11303585,1836,,1752464,0,2,Friday
1793,Fingers Crossed,Fingers Crossed,Lauren Spencer Smith,2022-01-05,TCAFY2118876,1783,34.5,437029775,71202,18194896,67.0,60320365,602827,52700,"31,427,513",261236772,2169985836,59,167522,927,43,616800,31,38926392,27268,,2895512,0,1,Wednesday
1794,This Side of Paradise,Color,Coyote Theory,2020-12-11,QMW9F1100003,1789,34.4,515923885,121767,25106201,72.0,166794513,2438100,520891,"383,884,667",2574138698,6350,7,18,,2,16264,,2672470,8628,9678283,2561309,0,12,Friday
1795,Pipoco,Pipoco,Ana Castela,2022-05-20,BXHZ02200008,1794,34.4,238890270,27066,8621319,60.0,384799195,2963384,465300,"88,637,887",1298188205,525707358,14,4831,,34,177404,11,,,,411758,0,5,Friday
1796,Don't Go Yet,Don't Go Yet,Camila Cabello,2021-07-23,USSM12104771,1791,34.4,499085551,64967,25228814,62.0,189120015,2445070,193708,"100,580,695",864218422,922572446,125,199403,20,39,419948,30,14153785,4185,,3990487,0,7,Friday
1797,My Baby,My Baby,Diamond Platnumz,2023-02-03,ZA41S2300062,1787,34.4,,757,61488,30.0,25504572,187689,2579200,"23,151,822",341343712,9191413,,252,,,,,15614,151,,201503,0,2,Friday
1798,DNA (Loving You) [feat. Hannah Boleyn],DNA (Loving You) [feat. Hannah Boleyn] - Single,Billy Gillies,2023-07-28,USAT22307379,1792,34.4,71722674,15522,22597896,68.0,25459927,162133,17628,"791,989",18182823,131619237,43,55349,94,23,707344,19,7167,64,7973941,952963,0,7,Friday
1799,The Magic Bomb,The Magic Bomb,Hoï¿½ï¿½ng ,2021-04-20,NLZ542100934,1788,34.4,4224438,2333,240248,31.0,4404312,94056,6400664,"838,003,900",10173667723,994101,3,3,205,1,2116,3,889278,717,,13990,0,4,Tuesday
1800,How Far I'll Go,Moana (Original Motion Picture Soundtrack/Deluxe Edition),Auli'i Cravalho,2016-11-18,USWD11677855,1793,34.4,611088459,48476,19235449,67.0,1505578850,5184385,150273,"18,075,637",149410833,46918755,87,592,382,10,155806,21,167139739,287679,,,0,11,Friday
1801,Paani Paani,Paani Paani,Badshah,2021-06-09,INH102100261,1790,34.4,89815962,9126,3802888,54.0,850941688,6694074,,,,158313518,8,1560,,2,1370,11,125172,,,176468,0,6,Wednesday
1802,Static,Gemini Rights,Steve Lacy,2022-07-15,USRC12202285,1786,34.4,304386086,69159,17570340,72.0,18632784,257442,326956,"217,253,263",1303631045,86936272,22,2174,372,15,227403,1,1716467,4865,10581141,651001,1,7,Friday
1803,Through Da Storm,Die A Legend,Polo G,2019-06-07,USQX91901170,1800,34.3,351007818,105025,7074555,64.0,186297690,1709390,16973,"8,083,973",55106493,6427525,2,283,,11,8973,,51567061,32915,66792003,713131,1,6,Friday
1804,Sabran,Sabran,AL SHAMI,2024-02-10,LBA132400142,1801,34.3,5501185,613,980583,,94138006,852151,,,,1110946120,4,99,,,,,,,,118843,0,2,Saturday
1805,Komet,Komet,Udo Lindenberg,2023-01-19,DEA622202192,1796,34.3,223211332,47584,5249832,68.0,83855008,603186,93,"5,456",95067,292977607,27,67360,,12,3383006,9,,,,940223,0,1,Thursday
1806,In the End,Hybrid Theory (Bonus Track Version),Linkin Park,2000-10-24,USWB10002407,1803,34.3,2045512421,324745,99290558,82.0,2375021286,17765456,522553,"63,993,059",729532806,1256171581,16,186149,357,117,1481082,52,832288547,304965,29420155,26145,0,10,Tuesday
1807,La Bicicleta,La Bicicleta,Carlos Vives,2016-05-27,USSD11600112,1802,34.3,697574595,60309,20351309,69.0,1691997312,4789339,417978,"54,674,912",945038658,343201999,86,18701,44,63,407197,65,57536813,92844,,4026835,0,5,Friday
1808,Hecha Pa' Mi,Mas Negro Que Rojo,Boza,2020-07-31,USSD12000196,1797,34.3,627556563,87091,25572110,67.0,315121318,1921904,1957950,"109,942,926",829202200,17231013,110,31933,93,30,322638,12,1524695,1786,,1608693,0,7,Friday
1809,SPIT IN MY FACE!,Spit in My Face! - Single,ThxSoMch,2022-10-31,QZAKB2203051,1798,34.3,516541770,50163,5857724,,153636776,2047892,153401,"73,405,119",893095805,86778108,,112,343,,,,,,,,1,10,Monday
1810,Caramelo,Caramelo,Ozuna,2020-06-11,USXDR2000567,1795,34.3,508151972,68478,20213678,56.0,585332283,2893537,694200,"40,465,854",387733644,163225146,68,10140,64,21,454231,42,29787813,10115,5879892,1234460,0,6,Thursday
1811,Calling My Spirit,Calling My Spirit,Kodak Black,2018-11-30,USAT21812416,1799,34.3,298721490,69136,7558306,59.0,162438129,1112123,4175,"1,012,306",13981094,31915591,18,1745,,3,6878,1,157802481,36367,96277540,684516,1,11,Friday
1812,Virtual Angel,<Dall>,ARTMS,2024-05-31,KRA382401742,1810,34.2,2371467,241,4606660,,11364565,212716,,,,,7,16,,,,7,209,,,4320,0,5,Friday
1813,Everybody Dies In Their Nightmares,17,XXXTENTACION,2017-08-25,USUYG1156894,1812,34.2,1590659204,203764,34418293,77.0,567076854,7875127,322403,"76,923,633",616913553,29039651,26,29,,9,136392,8,99032560,70564,,2444041,1,8,Friday
1814,Maria Mariah,Maria Mariah,JC NO BEAT,2023-11-17,BCLWS2302458,1811,34.2,33605864,12453,3161785,32.0,107114515,805527,,"1,970,109",25541775,488737787,4,342,5,4,1999794,14,,,,160253,1,11,Friday
1815,"Shaitan Ka Saala (From ""Housefull 4"")","Shaitan Ka Saala (From ""Housefull 4"")",Sohail Sen,2019-10-07,INS181905023,1805,34.2,35269135,3782,1470547,44.0,1364545600,4782629,,"1,462,995",19469573,97746040,4,241,,,,6,,,,167685,0,10,Monday
1816,Fï¿½ï¿½S,Fï¿½ï¿½S,Britney Manson,2023-08-11,RUB862300027,1808,34.2,140756753,20909,5720836,36.0,60902734,885239,425901,"139,431,702",982755143,84060916,,11,,2,27804,,378942,1511,,459549,1,8,Friday
1817,Danza Kuduro (feat. Lucenzo),100% tubes de l'ï¿½ï¿½tï¿½ï¿½ 2018 : La bande son 100,Don Omar,2018-06-15,FR6F31821340,1809,34.2,1655575417,1108,64350,40.0,1498854054,6607472,9,371,8882,155196257,,,,,,,,,,,0,6,Friday
1818,Spokojnie,Ninja,HOT DONUTS,2023-02-26,GBMJG2302966,1807,34.2,,1,17,,407197875,1302211,,,,,,1,,,,,,,,,0,2,Sunday
1819,Me Niego (feat. Ozuna & Wisin),Me Niego,Reik,2018-02-16,MXF011800071,1814,34.2,708166969,58098,19508090,66.0,1209951349,4611513,382728,"36,505,321",263244094,291869556,64,13342,75,35,77448,30,142883611,29182,,4094040,0,2,Friday
1820,"Sheï¿½ï¿½ï¿½s Gone, Da","Sheï¿½ï¿½ï¿½s Gone, Da",Disclosure,2024-05-29,USA2P2420371,1813,34.2,7021860,2000,61759962,,149674,5277,,"146,800",816500,,52,1746,2,39,2175560,41,25891,20,189590,40920,0,5,Wednesday
1821,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,Parkmalody,2023-10-14,TCAHL2371470,1804,34.2,13900332,1737,402173,,65378730,231736,847700,"4,605,027",59606925,26646344,3,958,,,,,,,,24734,0,10,Saturday
1822,Ma Fi Leil,Ma Fi Leil,Nassif Zeytoun,2024-04-16,LBA132400447,1806,34.2,1579231,195,741333,,43912255,427835,,,,2635256,4,124,,3,41160,,,,,83701,0,4,Tuesday
1823,NEON BLADE,NEON BLADE,MoonDeity,2022-06-01,SE6QE2237231,1821,34.1,256121980,60620,23882871,68.0,223554131,2671018,137960,"139,402,074",1479505358,50959369,16,1,,3,91280,1,1738308,3599,,2490025,1,6,Wednesday
1824,Ho Hey,The Lumineers,The Lumineers,2012-01-01,USDMG1260805,1818,34.1,1273869800,214511,64606098,76.0,370952126,2847630,28712,"25,451,026",172101115,213556549,148,242121,353,98,601170,53,815332673,520710,13370304,17971225,0,1,Sunday
1825,Corrido de Juan Armenta,Los Temas de Mis Pelï¿½ï¿½c,Vicente Fernï¿½ï¿½,2024-05-27,MXF012400279,1816,34.1,68134,3,138,,,,,,,,,,,,,,10721923,6628,,,0,5,Monday
1826,Frozen,Frozen,Madonna,2021-12-03,USWB12105753,1817,34.1,171060866,62420,13385720,62.0,39445207,832416,1812874,"58,132,303",954943543,7699,17,12696,529,9,15158,2,17914746,3997,,6425997,0,12,Friday
1827,Mahiye Jinna Sohna,Mahiye Jinna Sohna,Darshan Raval,2023-06-22,INW262317735,1823,34.1,208410725,14238,8924766,66.0,117750348,1330374,496900,"14,803,092",327071314,85756632,3,597,,1,1097,16,4121,18,,242339,0,6,Thursday
1828,Pain,Pain,PinkPantheress,2021-02-05,QZFZ52145391,1819,34.1,595213841,124555,17910647,77.0,47759635,771300,206470,"115,511,396",640679729,201866,33,1073,145,10,133199,,2317940,3730,20459627,719198,1,2,Friday
1829,T.B.H,1st Mini Album 'MANITO',QWER,2024-04-01,KRA382401946,1822,34.1,4579390,569,2440321,59.0,54015483,299452,,,,9441934,8,,,,,,,,,44505,0,4,Monday
1830,Arms Around You (feat. Maluma & Swae Lee),Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,2018-10-25,USWB11802264,1815,34.1,587673746,88533,17023029,65.0,490164687,7575841,108400,"2,994,730",15353974,210200706,34,30031,9,16,13467,6,38836032,28986,51950035,3904200,1,10,Thursday
1831,Titliaan,Titliaan,Afsana Khan,2020-11-09,INUM72000090,1820,34.1,60103893,7617,1238881,54.0,996649537,9168790,151100,"1,406,442",44461309,23808458,4,310,,,,2,1935,,,230094,0,11,Monday
1832,Save Your Tears,After Hours (Deluxe),The Weeknd,2020-03-20,USUG12000669,1827,34.0,1995511952,8264,1155540,49.0,,,,,,,68,916627,,29,2416985,,,,,,1,3,Friday
1833,Padam Padam,Padam Padam,Kylie Minogue,2023-05-18,GB5KW2301017,1826,34.0,142783595,27586,18160338,43.0,39579610,426906,49769,"16,387,200",266934347,317063172,117,97932,1135,34,786028,87,2872697,3783,,1166124,0,5,Thursday
1834,Pacto (feat. Bryant Myers & Dei V) - Remix,Pacto (Remix) [feat. Bryant Myers & Dei V],Jay Wheeler,2023-07-28,USUYG1499990,1829,34.0,112634428,23871,11484313,64.0,116848094,896215,,,,10987919,10,1217,,2,25994,15,1644547,1260,927877,268439,1,7,Friday
1835,Finesse,Finesse,Pheelz,2022-03-03,QZQAY2239272,1830,34.0,162356099,67124,8539093,62.0,27222424,253527,813201,"95,230,456",1145039714,966941,77,70941,515,15,574629,27,11491383,2501,4604430,4200295,0,3,Thursday
1836,Bad Blood,1989 (Deluxe),Taylor Swift,2014-01-01,USCJY1431369,1834,34.0,602316735,64462,20443761,67.0,1643019828,10410620,169764,"142,146,594",998836191,568822896,91,12331,117,9,19067,8,442671630,511323,387051,3046517,0,1,Wednesday
1837,SNAP,SNAP - Single,Rosa Linn,2022-03-19,QM4TX2221661,1828,34.0,1033308414,53249,27556242,1.0,12702613,214200,420936,"170,964,850",1837588984,75492508,,169034,944,15,33716,,33378778,6855,,,0,3,Saturday
1838,La Intenciï¿½,La Intenciï¿½,Christian Nodal,2024-01-26,QZQPC2100130,1831,34.0,119369458,5866,19272195,,38415068,389722,43600,"16,305,600",171858600,315995610,18,8223,1,18,103202,25,9198529,1038,,380747,0,1,Friday
1839,Crazy What Love Can Do,Only Honest On The Weekend (Deluxe),David Guetta,2022-03-18,UKWLG2200001,1825,34.0,371288040,69527,53951706,69.0,42623147,297084,5644,"1,282,246",19793657,2591798957,111,205826,348,56,947134,40,4516525,729,,2246791,0,3,Friday
1840,Man Made A Bar (feat. Eric Church),One Thing At A Time,Morgan Wallen,2023-03-03,USUG12300804,1824,34.0,175095439,21001,6637673,75.0,61848993,311636,52412,"3,106,312",21618436,80192815,25,109675,21,2,81390,6,44998795,7316,1864234,268281,0,3,Friday
1841,Volvï¿,Volvï¿½ï¿½ - Si,Aventura,2021-08-03,QMFME2168127,1833,34.0,780755736,107320,35444438,72.0,89683527,493296,30301,"6,103,064",49294071,,97,39183,129,25,383440,46,69320555,14510,,1804089,1,8,Tuesday
1842,Bijlee Bijlee,Bijlee Bijlee - Single,Harrdy Sandhu,2021-10-30,INUM72100076,1832,34.0,185690034,20169,4249749,62.0,653915314,6109560,26625,"3,745,325",52219515,,13,1527,,,,6,835141,472,,326010,0,10,Saturday
1843,Super,ýýýýýýýýý ýýýýýý10ýýý 'FML' - EP,SEVENTEEN,2023-04-24,USA2P2310675,1839,33.9,210481840,14690,8191208,67.0,209677493,2906443,95008,"178,551,449",1027127321,571782627,29,3674,27,5,180148,24,645104,601,,491972,0,4,Monday
1844,Diamonds,Diamonds,Sam Smith,2020-09-17,GBUM72002531,1835,33.9,411109963,53928,10287976,58.0,205575225,1908534,142900,"23,431,333",254269639,48735190,133,403730,53,158,831207,35,77375004,11904,,5268930,0,9,Thursday
1845,Do I Wanna Know?,AM,Arctic Monkeys,2013-01-01,GBCEL1300362,1837,33.9,2188592950,361827,91030520,81.0,457550865,4610448,13917,"12,237,124",71629637,56377,149,2204,71,103,706652,34,308026596,156277,,10708249,0,1,Tuesday
1846,Self Love (Spider-Man: Across the Spider-Verse),METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,2023-06-02,USUM72308561,1838,33.9,168713011,40836,5604951,68.0,42717660,479690,,,,28182,37,1635,2,,,2,548106,2911,4059933,371164,0,6,Friday
1847,It's Not Right But It's Okay,It's Not Right (But It's Ok),Mr. Belt & Wezol,2024-02-23,NLP762300246,1841,33.9,56343820,9047,82301244,78.0,1245263,8718,,,,,35,25492,,99,11766777,33,2147,23,,570335,0,2,Friday
1848,Sweet Dreams,Sweet Dreams,Koe Wetzel,2024-05-17,USQX92401736,1836,33.9,20827832,2016,9370898,75.0,3054416,50012,,,,34213155,24,163,2,7,1596756,20,3202724,2499,254896,23699,0,5,Friday
1849,Mittelmeer,Mittelmeer,Pashanim,2024-05-23,DECE72400931,1840,33.9,20583156,3159,12002200,76.0,1094955,53918,,,,,22,775,,10,3417114,19,,,,24801,0,5,Thursday
1850,Another Love,Songs from Another Love,Tom Odell,2012-01-01,GBARL1300107,1842,33.9,2444335468,380675,168483196,83.0,996981745,9104648,452786,"77,257,465",714451407,858018753,137,36017,8,195,16139369,30,,,,,1,1,Sunday
1851,Djadja,Djadja,Aya Nakamura,2018-04-06,FRZ041800369,1849,33.8,449300755,100823,11604346,65.0,1085070267,6471346,91851,"11,755,003",125615755,150274308,124,23057,14,66,578395,42,1232850,4071,,8075024,0,4,Friday
1852,LOOK DONï¿½ï¿½ï¿½T TOUCH (feat. cade ,LOOK DONï¿½ï¿½ï¿½T TOUCH (feat. cade ,Odetari,2023-05-17,QZVFR2301356,1848,33.8,184630078,29450,3853996,69.0,63500291,813255,66100,"15,513,962",102841979,69529,2,4,,,,,1043199,2591,6749208,683699,1,5,Wednesday
1853,We Are The People - southstar Remix,We Are The People (Southstar Remix),Empire Of The Sun,2023-02-17,AU2DY2300031,1847,33.8,131670125,46791,23537698,66.0,,,14500,"1,854,474",24090347,,29,6116,,20,225396,7,7916,,13381317,764949,0,2,Friday
1854,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne,2021-04-22,GBAHS2100229,1845,33.8,329901408,127068,10900641,59.0,139803282,2011079,823150,"666,189,916",5034712644,5387519,56,5281,,11,42260,13,396981,1386,,1625019,1,4,Thursday
1855,Piyar Farak Wali,Piyar Farak Wali,Pawan Singh,2023-04-24,ING642302554,1846,33.8,30668840,681,196547,60.0,324783065,1774598,1170,"64,466",967073,,,,,,,,,,,24271,0,4,Monday
1856,Timber (feat. Ke$ha),Greatest Hits,Pitbull,2009-01-01,USRC11301695,1850,33.8,1477150302,241550,126126362,79.0,1751763286,7958745,1011744,"145,705,571",1166623514,597231371,166,98296,348,125,807752,35,56047915,116438,45784258,13339874,0,1,Thursday
1857,Little Life,Little Life,Cordelia,2023-10-19,QZTB32354348,1844,33.8,15433188,5294,5121873,,1480668,47307,1112614,"310,478,118",2139918587,3395360,10,250,,5,564034,5,48577,571,,165267,0,10,Thursday
1858,LOVE YOU BETTER,I NEVER LIKED YOU,Future,2022-04-29,USSM12203790,1843,33.8,128787729,37150,4216777,63.0,56487397,578887,35830,"4,458,009",39913325,11069874,12,260687,3962,1,46208,5,85707959,10837,,903005,1,4,Friday
1859,Woah,Woah,Lil Baby,2019-11-08,USUG11902877,1851,33.8,420627588,104460,14977024,60.0,448194116,3160800,203312,"26,617,282",225572938,9769097,76,80703,212,17,114900,25,141082301,75459,,1977941,1,11,Friday
1860,As If It's Your Last,As If It's Your Last,BLACKPINK,2017-06-22,KRA401700174,1858,33.7,594775179,39525,11903640,70.0,1658892938,17870955,380060,"85,311,100",716217499,176351895,28,3547,4,3,27697,8,7982471,15956,,1387663,0,6,Thursday
1861,679 (feat. Remy Boyz),679 (feat. Remy Boyz),Fetty Wap,2015-06-29,QMCE31500250,1863,33.7,808010338,130977,25603956,71.0,690889020,4272301,1014761,"52,308,653",243314330,258112509,1,44246,375,6,4160,,,,91184574,4663057,1,6,Monday
1862,DE LUNES A LUNES,DE LUNES A LUNES - Single,Manuel Turizo,2023-08-24,QZDYA1800274,1856,33.7,178247858,12797,13650757,73.0,104715392,352213,12100,"2,454,985",26823518,37557065,17,15249,212,17,5682855,5,19861700,1116,,415549,0,8,Thursday
1863,Whistle,Whistle (feat. Calum Scott),Jax Jones,2023-02-10,GBUM72202305,1859,33.7,150399875,24147,33879427,68.0,31790864,197887,8960,"2,341,316",59124615,144744994,58,179831,93,34,800892,9,1523762,,1747201,1848814,0,2,Friday
1864,Look At Me!,Look At Me!,XXXTENTACION,2017-02-20,USUYG1131080,1864,33.7,1432465000,178342,32522476,75.0,529846128,11029532,3523215,"235,606,523",2685984395,2295267,36,317,,8,197216,3,,,,,1,2,Monday
1865,Thang For You (feat. No Cap),Thang For You (feat. No Cap),Rylo Rodriguez,2023-06-23,QZUZR2307704,1860,33.7,34566972,14562,6350457,54.0,63064761,306628,199169,"17,792,202",155967629,279837629,17,,4,3,151282,7,7359694,5246,9659624,706470,1,6,Friday
1866,Before You Leave Me,Before You Leave Me,Alex Warren,2024-02-16,USAT22314248,1854,33.7,99946842,9128,36536793,78.0,4417747,54887,,"309,855",2306041,47328686,21,10826,58,15,312659,27,2870114,552,1285921,310024,0,2,Friday
1867,2Humpy is Back,2Humpy is Back,2Rare,2024-04-05,USWB12401052,1861,33.7,299871,71,576253,,,,387200,"5,817,255",40815691,,1,1,,,,7,82867,56,,20511,1,4,Friday
1868,XO Tour Llif3,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,USAT21703440,1855,33.7,2123458039,250221,69341164,77.0,333716726,2350373,972025,"39,843,516",293246122,9538431,6,185,155,15,13828,,,,,28504,1,8,Friday
1869,"break up with your girlfriend, i'm bored","thank u, next",Ariana Grande,2019-02-08,USUM71900409,1857,33.7,975281654,82431,31929703,69.0,672090558,7230344,66530,"29,856,824",218317192,920848561,74,52163,263,29,609186,19,162544700,135795,,2386682,1,2,Friday
1870,la noia,La noia,Angelina Mango,2024-02-07,ITJG42400001,1853,33.7,81694468,4777,7822812,80.0,47424040,377348,,"173,700",4000000,251776060,28,14334,,15,3191554,23,3551,,12350,262811,0,2,Wednesday
1871,Nothing Breaks Like a Heart (feat. Miley Cyrus),Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,2018-11-30,GBARL1801571,1852,33.7,942092206,129847,59476416,68.0,561103775,5753715,247441,"154,388,347",1462282216,1257603748,106,19349,17,89,1222203,32,33775179,23653,,11510830,0,11,Friday
1872,TUS Lï¿½ï¿½GR,Microdosis,Mora,2022-04-01,QM4TX2252947,1862,33.7,231258162,42133,12601998,64.0,143774447,773465,1754800,"79,825,538",760223916,317485352,27,5833,368,1,46161,20,3321809,662,,616275,1,4,Friday
1873,The EPA Song,Make It Myself,Ants on a Log,2023-03-31,QMFME2231905,1876,33.6,,3,56,,369121448,410669,,,,,,2,,,,,,,,1,0,3,Friday
1874,La solution,Voodoo belge,Marka,2023-02-03,BEW512200007,1871,33.6,1537,3,226,,414936783,442757,,,,,,3,,,,,,,,,0,2,Friday
1875,Pump,Pump,Valentino Khan,2017-05-26,USZ4V1700087,1873,33.6,67890975,26030,3848842,42.0,3506898,39237,13018365,"197,043,302",3438499599,,38,859,,8,4732,,3722073,5476,,1775117,0,5,Friday
1876,Higher Love,Higher Love,Kygo,2019-06-28,USRC11901901,1875,33.6,943137389,117582,79382957,67.0,315848540,1595053,43336,"9,354,620",94552478,93310119,302,243385,238,165,2663236,98,54000735,46744,,5337579,0,6,Friday
1877,WORTH NOTHING (feat. Oliver Tree) - Fast & Furious: Drift Tape/Phonk Vol 1,WORTH NOTHING (feat. Oliver Tree) [Fast & Furious: Drift Tape/Phonk Vol 1],TWISTED,2022-09-28,QZNWZ2297541,1868,33.6,299202591,67616,26749482,67.0,36393651,720855,418361,"408,682,791",5978876777,1312638,21,796,,6,28157,,3556887,3088,,2693410,1,9,Wednesday
1878,Friends,FRIENDS,Marshmello,2018-02-09,GBAHS1800051,1869,33.6,1436709386,1231,419951,31.0,1548579253,15340302,,,,279747036,32,74968,,1,2711,,,,4037,,0,2,Friday
1879,Entre Nosotros (Remix) [con Nicki Nicole],Entre Nosotros (Remix) [con Nicki Nicole],Tiago PZK,2022-01-05,AR3N42100008,1866,33.6,297383787,36673,9448129,65.0,467320988,3360533,,,,595873581,20,12895,,14,27719,8,344197,604,13998,737203,0,1,Wednesday
1880,Love Lies (with Normani),Love Lies,Khalid,2018-02-14,USRC11703646,1865,33.6,937339123,96612,21547967,67.0,479514227,3606789,191838,"8,019,207",56608149,88739909,82,177635,182,48,194316,68,418186255,99110,,5381698,1,2,Wednesday
1881,Tal Para Cual,Tal Para Cual,Salastkbron,2024-01-11,AR5UH2301964,1867,33.6,54141672,5115,10033097,70.0,89396830,355314,,,,195623398,,183,,2,6018,13,,,,36160,0,1,Thursday
1882,El Tï¿½ï¿½,El Tï¿½ï¿½,Grupo Firme,2020-10-27,QZDQH1906375,1877,33.6,432634168,31429,17749866,59.0,699174305,2537896,128548,"12,531,029",168805311,19333484,16,5054,134,7,6081112,38,92147328,21527,,1109128,0,10,Tuesday
1883,Sorriso no Rosto,Sorriso no Rosto,Mc IG,2024-05-28,BRWMB2400738,1874,33.6,11576361,935,26514018,71.0,9310828,224835,,,,104741,2,2,,5,7100195,19,,,,,1,5,Tuesday
1884,"jealousy, jealousy",SOUR,Olivia Rodrigo,2021-05-21,USUG12101248,1878,33.6,884616492,101479,24049783,77.0,211384847,2822121,94602,"92,641,326",464412661,14107434,32,1529,7,10,32485,8,21456287,28539,,1187607,0,5,Friday
1885,Shaky Shaky,Shaky Shaky,Daddy Yankee,2016-04-08,US2BU1600020,1872,33.6,355833360,32831,9930933,57.0,1841152614,6950519,673957,"68,853,618",580818135,246854508,32,9113,64,22,84506,22,49501753,161901,,2606582,0,4,Friday
1886,El Amante,El Amante,Nicky Jam,2017-01-01,USSD11600415,1870,33.6,583299836,52696,14027229,64.0,1463687327,4556113,206254,"7,981,083",107045562,279080167,52,15341,82,32,318807,33,196553476,74725,,5312033,0,1,Sunday
1887,ICU,ICU,Coco Jones,2022-10-21,USUM72216687,1881,33.5,52106559,13612,2835147,61.0,70625059,637218,50210,"9,243,349",81185287,143356579,30,173142,104,4,432333,36,52357286,37370,4473646,1514755,0,10,Friday
